player_name,week,rb_market_share
C.McCaffrey,4,0.5692307692307692
T.Gurley,11,0.56
L.Bell,2,0.5254237288135594
C.Edmonds,7,0.5
D.Henry,10,0.5
A.Kamara,3,0.49019607843137253
D.Cook,1,0.48936170212765956
A.Peterson,7,0.4878048780487805
L.Fournette,6,0.48148148148148145
C.McCaffrey,3,0.47368421052631576
D.Cook,10,0.4714285714285714
L.Bell,3,0.46808510638297873
C.McCaffrey,1,0.46774193548387094
D.Henry,4,0.4666666666666667
C.Carson,1,0.45652173913043476
J.Jacobs,1,0.4528301886792453
E.Elliott,4,0.4528301886792453
M.Mack,5,0.4444444444444444
J.Mixon,10,0.4444444444444444
L.Murray,7,0.4444444444444444
C.McCaffrey,12,0.44285714285714284
C.Carson,4,0.4406779661016949
A.Peterson,6,0.43859649122807015
E.Elliott,6,0.4342105263157895
L.Murray,8,0.42857142857142855
L.Fournette,3,0.42857142857142855
P.Barber,2,0.42857142857142855
D.Cook,5,0.42857142857142855
N.Chubb,3,0.42857142857142855
C.Carson,5,0.42424242424242425
E.Elliott,7,0.42424242424242425
E.Elliott,12,0.423728813559322
A.Jones,5,0.41935483870967744
C.McCaffrey,6,0.41935483870967744
D.Cook,8,0.417910447761194
D.Henry,12,0.4166666666666667
J.Jacobs,5,0.4142857142857143
D.Montgomery,8,0.41333333333333333
M.Mack,1,0.4126984126984127
J.Jacobs,11,0.4126984126984127
L.Fournette,12,0.4125
J.Jacobs,9,0.4117647058823529
J.Conner,6,0.4107142857142857
C.McCaffrey,5,0.4098360655737705
N.Chubb,6,0.4098360655737705
C.McCaffrey,9,0.4090909090909091
L.Fournette,4,0.40789473684210525
D.Montgomery,9,0.40476190476190477
L.Bell,9,0.4032258064516129
N.Chubb,11,0.40298507462686567
L.Fournette,7,0.4025974025974026
L.Bell,5,0.4
S.Barkley,8,0.39705882352941174
D.Singletary,9,0.39655172413793105
L.Fournette,8,0.3939393939393939
K.Ballage,10,0.39344262295081966
J.Jacobs,7,0.39344262295081966
A.Jones,2,0.391304347826087
E.Elliott,2,0.390625
A.Peterson,8,0.3902439024390244
C.Carson,10,0.3888888888888889
J.Conner,8,0.3880597014925373
D.Cook,7,0.3880597014925373
A.Peterson,9,0.3877551020408163
K.Johnson,4,0.3835616438356164
C.Carson,6,0.3835616438356164
D.Cook,2,0.38333333333333336
D.Henry,7,0.38333333333333336
N.Chubb,2,0.3793103448275862
D.Cook,9,0.3787878787878788
N.Chubb,5,0.37777777777777777
C.Carson,8,0.37735849056603776
A.Ekeler,4,0.3770491803278688
N.Chubb,4,0.3770491803278688
C.McCaffrey,10,0.37142857142857144
A.Kamara,11,0.3709677419354839
A.Ekeler,2,0.3709677419354839
D.Henry,1,0.37037037037037035
D.Henry,5,0.37037037037037035
J.Howard,8,0.36923076923076925
L.Bell,10,0.36666666666666664
N.Chubb,12,0.36363636363636365
W.Gallman Jr,4,0.36363636363636365
C.McCaffrey,11,0.36231884057971014
K.Johnson,3,0.3620689655172414
N.Chubb,8,0.3620689655172414
D.Freeman,3,0.3584905660377358
D.Montgomery,4,0.3582089552238806
D.Cook,3,0.35714285714285715
J.Samuels,9,0.3559322033898305
L.Fournette,5,0.35526315789473684
T.Coleman,7,0.3548387096774194
E.Elliott,9,0.35384615384615387
J.Mixon,12,0.35294117647058826
C.Carson,7,0.35294117647058826
P.Lindsay,5,0.35185185185185186
M.Mack,2,0.3492063492063492
D.Freeman,6,0.3492063492063492
P.Lindsay,3,0.3472222222222222
J.Jacobs,10,0.34545454545454546
A.Kamara,12,0.3448275862068966
D.Cook,4,0.3448275862068966
B.Snell Jr.,12,0.34375
L.Bell,1,0.34328358208955223
J.Samuels,4,0.33962264150943394
J.Conner,4,0.33962264150943394
D.Montgomery,2,0.3392857142857143
L.Fournette,2,0.3389830508474576
M.Mack,8,0.3389830508474576
N.Chubb,10,0.3384615384615385
A.Kamara,5,0.3333333333333333
L.Fournette,1,0.3333333333333333
J.Conner,3,0.3333333333333333
D.Johnson,4,0.3333333333333333
C.Hyde,6,0.32926829268292684
N.Chubb,9,0.3287671232876712
M.Mack,7,0.328125
F.Gore,2,0.328125
S.Michel,2,0.328125
A.Jones,8,0.32786885245901637
J.Mixon,5,0.32786885245901637
S.Barkley,12,0.3275862068965517
Dam.Williams,1,0.3275862068965517
T.Gurley,2,0.3275862068965517
D.Montgomery,10,0.3269230769230769
S.Barkley,7,0.3230769230769231
E.Elliott,3,0.3230769230769231
A.Kamara,4,0.3225806451612903
C.Hyde,2,0.3225806451612903
B.Snell,6,0.32142857142857145
J.Jacobs,8,0.32075471698113206
S.Michel,6,0.32
S.Barkley,2,0.3181818181818182
S.Michel,8,0.3181818181818182
M.Mack,9,0.3181818181818182
A.Kamara,1,0.31746031746031744
N.Chubb,1,0.31746031746031744
D.Henry,2,0.3148148148148148
D.Singletary,12,0.3142857142857143
E.Elliott,10,0.3142857142857143
C.Hyde,5,0.31343283582089554
S.Michel,12,0.3125
L.Bell,11,0.3125
Dam.Williams,10,0.3116883116883117
D.Henry,8,0.3090909090909091
J.Mixon,3,0.3090909090909091
A.Jones,7,0.3076923076923077
L.Bell,7,0.3076923076923077
J.Jacobs,4,0.3064516129032258
A.Ekeler,1,0.3050847457627119
M.Mack,3,0.3050847457627119
J.Howard,4,0.3050847457627119
P.Lindsay,12,0.30434782608695654
P.Lindsay,8,0.30158730158730157
C.Hyde,9,0.30158730158730157
P.Lindsay,6,0.2982456140350877
C.McCaffrey,8,0.296875
J.Mixon,4,0.296875
D.Freeman,8,0.29577464788732394
